Data;Atsak_;IP adresas;Ar pritariate, kad  dr. J. Basanavi_iaus paminklas b_t_ pastatytas aikšt_je priešais Filharmonij_?;Ar pritariate, kad  dr. J. Basanavi_iaus paminklas b_t_ pastatytas K. Sirvydo skvere?
29/09/15 19:48;---;82.135.242.13;Pritariu;Neturiu nuomon_s
29/09/15 19:12;---;88.223.61.15;Pritariu;Neturiu nuomon_s
29/09/15 18:53;---;78.56.193.89;Pritariu;Nepritariu
29/09/15 18:44;---;78.56.108.54;Pritariu;Nepritariu
29/09/15 16:45;---;81.7.90.130;Nepritariu;Pritariu
29/09/15 16:38;---;85.206.22.155;Pritariu;Nepritariu
29/09/15 16:33;---;81.7.91.45;Pritariu;Nepritariu
29/09/15 15:20;---;194.110.220.208;Pritariu;Nepritariu
29/09/15 15:08;---;82.135.205.81;Pritariu;Nepritariu
29/09/15 14:38;---;193.219.8.57;Pritariu;Pritariu
29/09/15 11:31;---;78.56.43.178;Pritariu;Nepritariu
29/09/15 10:31;---;82.135.219.164;Pritariu;Nepritariu
29/09/15 10:13;---;193.219.60.10;Pritariu;Nepritariu
29/09/15 09:32;---;86.38.129.37;Pritariu;Nepritariu
29/09/15 09:21;---;78.56.202.54;Pritariu;Nepritariu
29/09/15 08:43;---;91.198.17.200;Nepritariu;Pritariu
29/09/15 08:29;---;193.219.13.153;Nepritariu;Pritariu
28/09/15 23:56;---;5.20.165.120;Nepritariu;Nepritariu
28/09/15 23:38;---;78.56.55.48;Nepritariu;Nepritariu
28/09/15 22:51;---;212.59.24.160;Nepritariu;Pritariu
28/09/15 21:54;---;78.56.34.204;Nepritariu;Pritariu
28/09/15 21:53;---;78.56.169.128;Pritariu;Nepritariu
28/09/15 20:42;---;78.60.106.242;Neturiu nuomon_s;Neturiu nuomon_s
28/09/15 20:41;---;78.56.93.255;Nepritariu;Pritariu
28/09/15 20:33;---;84.15.191.93;Nepritariu;Pritariu
28/09/15 20:16;---;95.173.42.245;Nepritariu;Pritariu
28/09/15 18:50;---;158.129.234.154;Neturiu nuomon_s;Pritariu
28/09/15 18:46;---;78.60.89.4;Pritariu;Pritariu
28/09/15 18:16;---;78.60.104.34;Pritariu;Nepritariu
28/09/15 17:37;---;188.69.192.45;Pritariu;Nepritariu
28/09/15 17:25;---;88.223.36.23;Pritariu;Nepritariu
28/09/15 13:58;---;195.182.92.77;Nepritariu;Pritariu
28/09/15 13:52;---;195.182.67.200;Nepritariu;Pritariu
28/09/15 13:21;---;212.122.91.173;Pritariu;Nepritariu
28/09/15 12:46;---;193.219.60.2;Pritariu;Nepritariu
28/09/15 10:23;---;85.206.130.249;Pritariu;Nepritariu
28/09/15 09:39;---;178.236.197.66;Pritariu;Nepritariu
28/09/15 09:39;---;193.219.60.6;Pritariu;Nepritariu
28/09/15 09:16;---;78.60.69.19;Pritariu;Nepritariu
28/09/15 08:46;---;81.7.79.138;Nepritariu;Pritariu
28/09/15 08:31;---;188.69.208.148;Pritariu;Nepritariu
27/09/15 23:46;---;85.225.111.209;Nepritariu;Nepritariu
27/09/15 23:43;---;78.60.227.46;Pritariu;Nepritariu
27/09/15 22:50;---;78.56.178.103;Pritariu;Nepritariu
27/09/15 22:29;---;5.20.146.137;Pritariu;Neturiu nuomon_s
27/09/15 22:28;---;81.7.88.224;Nepritariu;Pritariu
27/09/15 22:23;---;95.173.42.84;Pritariu;Nepritariu
27/09/15 22:14;---;78.63.248.18;Pritariu;Nepritariu
27/09/15 22:11;---;213.159.46.191;Nepritariu;Nepritariu
27/09/15 21:54;---;194.28.233.50;Pritariu;Pritariu
27/09/15 21:48;---;81.29.24.40;Nepritariu;Nepritariu
27/09/15 21:37;---;86.38.159.114;Nepritariu;Pritariu
27/09/15 21:35;---;78.157.82.98;Pritariu;Nepritariu
27/09/15 21:23;---;5.20.96.36;Pritariu;Neturiu nuomon_s
27/09/15 21:14;---;78.60.98.66;Neturiu nuomon_s;Pritariu
27/09/15 21:03;---;84.240.7.154;Pritariu;Nepritariu
27/09/15 20:56;---;78.60.126.251;Pritariu;Nepritariu
27/09/15 20:38;---;84.240.38.104;Neturiu nuomon_s;Neturiu nuomon_s
27/09/15 20:22;---;78.60.119.50;Neturiu nuomon_s;Pritariu
27/09/15 20:13;---;89.116.254.50;Pritariu;Nepritariu
27/09/15 20:09;---;78.60.78.150;Pritariu;Nepritariu
27/09/15 20:07;---;78.56.234.19;Nepritariu;Pritariu
27/09/15 20:04;---;5.20.139.240;Nepritariu;Pritariu
27/09/15 20:01;---;78.60.222.47;Pritariu;Nepritariu
27/09/15 20:00;---;88.119.144.143;Pritariu;Nepritariu
27/09/15 19:57;---;78.60.137.136;Neturiu nuomon_s;Pritariu
27/09/15 19:46;---;78.60.99.160;Nepritariu;Pritariu
27/09/15 19:31;---;78.56.139.201;Nepritariu;Pritariu
27/09/15 19:29;---;5.20.133.10;Nepritariu;Nepritariu
27/09/15 19:20;---;78.60.34.155;Pritariu;Nepritariu
27/09/15 19:09;---;5.20.170.66;Nepritariu;Pritariu
27/09/15 18:54;---;78.60.148.15;Nepritariu;Pritariu
27/09/15 18:53;---;78.56.142.161;;Pritariu
27/09/15 18:47;---;88.223.58.176;Pritariu;Neturiu nuomon_s
27/09/15 18:46;---;212.52.53.144;Neturiu nuomon_s;Nepritariu
27/09/15 18:30;---;78.56.123.121;Pritariu;Nepritariu
27/09/15 18:16;---;78.56.203.236;Pritariu;Pritariu
27/09/15 18:15;---;5.20.100.194;Nepritariu;Pritariu
27/09/15 18:15;---;78.60.87.113;Pritariu;Neturiu nuomon_s
27/09/15 18:06;---;78.57.142.152;Nepritariu;Nepritariu
27/09/15 18:01;---;78.56.76.73;Pritariu;Nepritariu
27/09/15 17:56;---;78.60.30.19;Pritariu;Nepritariu
27/09/15 17:47;---;78.157.81.22;Nepritariu;Nepritariu
27/09/15 17:33;---;78.60.70.160;Pritariu;Nepritariu
27/09/15 17:21;---;213.159.54.14;Pritariu;Nepritariu
27/09/15 16:54;---;5.20.147.12;Nepritariu;Pritariu
27/09/15 16:52;---;78.60.105.238;Pritariu;Pritariu
27/09/15 16:46;---;78.63.74.202;Pritariu;Pritariu
27/09/15 16:42;---;78.56.59.199;Nepritariu;Pritariu
27/09/15 16:31;---;78.58.120.72;Pritariu;Nepritariu
27/09/15 16:28;---;78.56.120.2;Nepritariu;Nepritariu
27/09/15 16:26;---;84.240.42.101;Pritariu;Nepritariu
27/09/15 16:22;---;193.219.131.42;Pritariu;Nepritariu
27/09/15 16:14;---;88.119.94.79;Pritariu;Nepritariu
27/09/15 16:06;---;212.52.52.108;Nepritariu;Pritariu
27/09/15 16:03;---;84.240.36.219;Pritariu;Neturiu nuomon_s
27/09/15 16:01;---;5.20.165.245;Pritariu;Nepritariu
27/09/15 15:59;---;78.63.232.101;Nepritariu;Nepritariu
27/09/15 15:55;---;78.60.97.69;Pritariu;Neturiu nuomon_s
27/09/15 15:55;---;5.20.185.110;Nepritariu;Pritariu
27/09/15 15:47;---;77.221.66.121;Pritariu;Nepritariu
27/09/15 15:46;---;46.251.50.206;Pritariu;Nepritariu
27/09/15 15:46;---;5.20.220.200;Pritariu;Nepritariu
27/09/15 15:34;---;78.157.95.4;Pritariu;Nepritariu
27/09/15 15:25;---;78.63.204.139;Nepritariu;Pritariu
27/09/15 15:20;---;88.216.18.185;Neturiu nuomon_s;Pritariu
27/09/15 15:04;---;78.60.42.48;Nepritariu;Pritariu
